mode,thinking,concurrency,aggregate_tps,completed_requests,request_count,errors,capacity_limited_flag,effective_concurrency,max_running_reqs,ttft_p50_ms,itl_p50_ms,latency_p50_ms,user_tps_p50,accept_length,accept_rate,engine_steps_per_second,context_tokens,max_tokens,temperature,ignore_eos,reasoning_effort,disable_thinking
mtp,low,8,1422.9924117264961,40,40,0,False,7.6,10,357.32950149940734,5.234935375367898,5713.072040500265,191.02432568847553,2.5875,0.5291666666666667,549.9487581551676,8192,1024,0.0,True,low,False
mtp,low,16,2330.9542268426435,80,80,0,False,15.6,20,362.26066699964576,6.451879797654077,6954.5537425001385,154.9936111389771,2.625,0.5416666666666666,887.9825626067213,8192,1024,0.0,True,low,False
mtp,low,32,3637.2137926255677,160,160,0,False,31.0,32,617.8042194987938,8.134653579180407,8783.959925500312,122.9308658425973,2.7234375,0.5744791666666667,1335.5231367070357,8192,1024,0.0,True,low,False
mtp,low,64,5051.45993370818,320,320,0,False,62.9,64,1167.2027769982378,11.289800679373347,12662.963237999065,88.57911834849111,2.759375,0.5864583333333333,1830.653656609986,8192,1024,0.0,True,low,False
mtp,medium,1,201.91337537672854,5,5,0,False,0.9,1,152.907839998079,4.768500650047778,5034.141591000662,209.70952368224602,2.525,0.5083333333333333,79.96569321850636,8192,1024,0.0,True,medium,False
mtp,medium,2,399.64166392466774,10,10,0,False,1.8,2,171.81795000033162,4.747339722385183,5062.889164000808,210.70326039734303,2.3,0.43333333333333335,173.75724518463815,8192,1024,0.0,True,medium,False
mtp,medium,4,775.1932874286604,20,20,0,False,3.7,4,252.72703449809342,4.833627857772494,5213.846450998972,206.88394603615527,3.09375,0.6979166666666666,250.567527249668,8192,1024,0.0,True,medium,False
mtp,medium,8,1381.4630578789984,40,40,0,False,7.2,8,256.56308500219893,5.183932147115081,5533.788155998991,192.90469133149276,2.89375,0.63125,477.39544116768843,8192,1024,0.0,True,medium,False
mtp,medium,16,2199.2209512669724,80,80,0,False,14.7,16,265.07997649787285,6.6909734095803355,7315.69995800055,149.4550855328714,2.4452296819787986,0.4817432273262662,899.3923832493543,8192,1024,0.0,True,medium,False
mtp,medium,32,3622.2476735877112,160,160,0,False,30.0,35,376.7291550011578,7.895174337243842,8743.474885499381,126.65964776828609,2.4453781512605044,0.48179271708683474,1481.2627943537375,8192,1024,0.0,True,medium,False
mtp,medium,64,5399.188300303254,320,320,0,False,58.7,64,2154.9876170010975,9.37149466519929,11760.848000998521,106.70656452992742,2.8,0.6,1928.281535822591,8192,1024,0.0,True,medium,False
mtp,none,1,197.53452164218834,5,5,0,False,0.9,1,151.85890900102095,4.910626115348191,5175.390972999594,203.6400199303494,2.45,0.48333333333333334,80.62633536415849,8192,1024,0.0,True,,True
mtp,none,2,387.75232743627754,10,10,0,False,2.0,2,207.83759499863663,4.868492684261561,5230.801540001266,205.41237681331262,3.0,0.6666666666666666,129.2507758120925,8192,1024,0.0,True,,True
